#TLB experiment
#	page size = 64 bytes
#	max number of pages = 4096
#	total number of references = 10 Mi
#pages	 proc	 sum
1718	 0.00800	 10484954
1720	 0.00794	 10485120
1722	 0.00812	 10485258
1724	 0.00803	 10485368
1726	 0.00798	 10485450
1728	 0.00783	 10485504
1730	 0.00796	 10485530
1732	 0.00781	 10485528
1734	 0.00786	 10485498
1736	 0.00788	 10485440
1738	 0.00785	 10485354
1740	 0.00794	 10485240
1742	 0.00791	 10485098
1744	 0.00789	 10484928
1746	 0.00796	 10484730
1748	 0.00786	 10484504
1750	 0.00785	 10484250
1752	 0.00786	 10485720
1754	 0.00780	 10485412
1756	 0.00786	 10485076
1758	 0.00783	 10484712
1760	 0.00787	 10484320
1762	 0.00794	 10485662
1764	 0.00782	 10485216
1766	 0.00769	 10484742
1768	 0.00788	 10484240
1770	 0.00786	 10485480
1772	 0.00772	 10484924
1774	 0.00788	 10484340
1776	 0.00749	 10485504
1778	 0.00784	 10484866
1780	 0.00779	 10484200
1782	 0.00768	 10485288
1784	 0.00772	 10484568
1786	 0.00781	 10485606
1788	 0.00790	 10484832
1790	 0.00787	 10484030
1792	 0.00788	 10484992
1794	 0.00797	 10484136
1796	 0.00776	 10485048
1798	 0.00775	 10484138
1800	 0.00813	 10485000
1802	 0.00788	 10484036
1804	 0.00783	 10484848
1806	 0.00791	 10485636
1808	 0.00820	 10484592
1810	 0.00810	 10485330
1812	 0.00782	 10484232
1814	 0.00764	 10484920
1816	 0.00784	 10485584
1818	 0.00776	 10484406
1820	 0.00792	 10485020
1822	 0.00787	 10485610
1824	 0.00783	 10484352
1826	 0.00785	 10484892
1828	 0.00780	 10485408
1830	 0.00776	 10484070
1832	 0.00788	 10484536
1834	 0.00770	 10484978
1836	 0.00787	 10485396
1838	 0.00781	 10483952
1840	 0.00785	 10484320
1842	 0.00776	 10484664
1844	 0.00768	 10484984
1846	 0.00767	 10485280
1848	 0.00773	 10485552
1850	 0.00789	 10483950
1852	 0.00778	 10484172
1854	 0.00788	 10484370
1856	 0.00783	 10484544
1858	 0.00784	 10484694
1860	 0.00780	 10484820
1862	 0.00784	 10484922
1864	 0.00791	 10485000
1866	 0.00800	 10485054
1868	 0.00789	 10485084
1870	 0.00789	 10485090
1872	 0.00781	 10485072
1874	 0.00799	 10485030
1876	 0.00774	 10484964
1878	 0.00776	 10484874
1880	 0.00789	 10484760
1882	 0.00785	 10484622
1884	 0.00788	 10484460
1886	 0.00785	 10484274
1888	 0.00788	 10484064
1890	 0.00767	 10485720
1892	 0.00789	 10485464
1894	 0.00766	 10485184
1896	 0.00801	 10484880
1898	 0.00784	 10484552
1900	 0.00800	 10484200
1902	 0.00785	 10485726
1904	 0.00780	 10485328
1906	 0.00776	 10484906
1908	 0.00797	 10484460
1910	 0.00791	 10483990
1912	 0.00789	 10485408
1914	 0.00777	 10484892
1916	 0.00774	 10484352
1918	 0.00783	 10485706
1920	 0.00762	 10485120
1922	 0.00792	 10484510
1924	 0.00783	 10483876
1926	 0.00775	 10485144
1928	 0.00784	 10484464
1930	 0.00785	 10485690
1932	 0.00783	 10484964
1934	 0.00785	 10484214
1936	 0.00780	 10485376
1938	 0.00795	 10484580
1940	 0.00872	 10485700
1942	 0.00792	 10484858
1944	 0.00790	 10483992
1946	 0.00745	 10485048
1948	 0.00786	 10484136
1950	 0.00801	 10485150
1952	 0.00796	 10484192
1954	 0.00747	 10485164
1956	 0.00775	 10484160
1958	 0.00798	 10485090
1960	 0.00772	 10484040
1962	 0.00764	 10484928
1964	 0.00773	 10483832
1966	 0.00786	 10484678
1968	 0.00786	 10485504
1970	 0.00779	 10484340
1972	 0.00774	 10485124
1974	 0.00766	 10483914
1976	 0.00764	 10484656
1978	 0.00754	 10485378
1980	 0.00766	 10484100
1982	 0.00767	 10484780
1984	 0.00770	 10485440
1986	 0.00760	 10484094
1988	 0.00763	 10484712
1990	 0.00767	 10485310
1992	 0.00777	 10483896
1994	 0.00753	 10484452
1996	 0.00761	 10484988
1998	 0.00770	 10485504
2000	 0.00752	 10484000
2002	 0.00775	 10484474
2004	 0.00766	 10484928
2006	 0.00760	 10485362
2008	 0.00758	 10483768
2010	 0.00777	 10484160
2012	 0.00765	 10484532
2014	 0.00766	 10484884
